(3*Sqrt[723]*Sin[(13*Pi)/67])/134,(-3*Sqrt[723]*Cos[(13*Pi)/67])/134,107/134
(Sqrt[42583]*Sin[(53*Pi)/268])/268,-(Sqrt[42583]*Cos[(53*Pi)/268])/268,-171/268
(12*Sqrt[31]*Sin[(27*Pi)/134])/67,(-12*Sqrt[31]*Cos[(27*Pi)/134])/67,-5/67
(Sqrt[54663]*Sin[(55*Pi)/268])/268,-(Sqrt[54663]*Cos[(55*Pi)/268])/268,131/268
(3*Sqrt[203]*Sin[(14*Pi)/67])/134,(-3*Sqrt[203]*Cos[(14*Pi)/67])/134,-127/134
(Sqrt[61215]*Sin[(57*Pi)/268])/268,-(Sqrt[61215]*Cos[(57*Pi)/268])/268,-103/268
(Sqrt[4345]*Sin[(29*Pi)/134])/67,-(Sqrt[4345]*Cos[(29*Pi)/134])/67,12/67
(Sqrt[32223]*Sin[(59*Pi)/268])/268,-(Sqrt[32223]*Cos[(59*Pi)/268])/268,199/268
(Sqrt[9307]*Sin[(15*Pi)/67])/134,-(Sqrt[9307]*Cos[(15*Pi)/67])/134,-93/134
(Sqrt[70599]*Sin[(61*Pi)/268])/268,-(Sqrt[70599]*Cos[(61*Pi)/268])/268,-35/268
(8*Sqrt[57]*Sin[(31*Pi)/134])/67,(-8*Sqrt[57]*Cos[(31*Pi)/134])/67,29/67
(Sqrt[535]*Sin[(63*Pi)/268])/268,-(Sqrt[535]*Cos[(63*Pi)/268])/268,267/268
(5*Sqrt[579]*Sin[(16*Pi)/67])/134,(-5*Sqrt[579]*Cos[(16*Pi)/67])/134,-59/134
(Sqrt[70735]*Sin[(65*Pi)/268])/268,-(Sqrt[70735]*Cos[(65*Pi)/268])/268,33/268
(Sqrt[2373]*Sin[(33*Pi)/134])/67,-(Sqrt[2373]*Cos[(33*Pi)/134])/67,46/67
Sqrt[7/2]/4,-Sqrt[7/2]/4,-3/4
(Sqrt[17331]*Cos[(33*Pi)/134])/134,-(Sqrt[17331]*Sin[(33*Pi)/134])/134,-25/134
(3*Sqrt[6847]*Cos[(65*Pi)/268])/268,(-3*Sqrt[6847]*Sin[(65*Pi)/268])/268,101/268
(2*Sqrt[130]*Cos[(16*Pi)/67])/67,(-2*Sqrt[130]*Sin[(16*Pi)/67])/67,63/67
(3*Sqrt[6015]*Cos[(63*Pi)/268])/268,(-3*Sqrt[6015]*Sin[(63*Pi)/268])/268,-133/268
(5*Sqrt[715]*Cos[(31*Pi)/134])/134,(-5*Sqrt[715]*Sin[(31*Pi)/134])/134,9/134
(3*Sqrt[4807]*Cos[(61*Pi)/268])/268,(-3*Sqrt[4807]*Sin[(61*Pi)/268])/268,169/268
(11*Sqrt[13]*Cos[(15*Pi)/67])/67,(-11*Sqrt[13]*Sin[(15*Pi)/67])/67,-54/67
(3*Sqrt[7511]*Cos[(59*Pi)/268])/268,(-3*Sqrt[7511]*Sin[(59*Pi)/268])/268,-65/268
(Sqrt[16107]*Cos[(29*Pi)/134])/134,-(Sqrt[16107]*Sin[(29*Pi)/134])/134,43/134
(Sqrt[15655]*Cos[(57*Pi)/268])/268,-(Sqrt[15655]*Sin[(57*Pi)/268])/268,237/268
(4*Sqrt[195]*Cos[(14*Pi)/67])/67,(-4*Sqrt[195]*Sin[(14*Pi)/67])/67,-37/67
(Sqrt[71815]*Cos[(55*Pi)/268])/268,-(Sqrt[71815]*Sin[(55*Pi)/268])/268,3/268
(Sqrt[12027]*Cos[(27*Pi)/134])/134,-(Sqrt[12027]*Sin[(27*Pi)/134])/134,77/134
(Sqrt[18463]*Cos[(53*Pi)/268])/268,-(Sqrt[18463]*Sin[(53*Pi)/268])/268,-231/268
(Sqrt[4089]*Cos[(13*Pi)/67])/67,-(Sqrt[4089]*Sin[(13*Pi)/67])/67,-20/67
(Sqrt[66783]*Cos[(51*Pi)/268])/268,-(Sqrt[66783]*Sin[(51*Pi)/268])/268,71/268
(7*Sqrt[115]*Cos[(25*Pi)/134])/134,(-7*Sqrt[115]*Sin[(25*Pi)/134])/134,111/134
(Sqrt[45255]*Cos[(49*Pi)/268])/268,-(Sqrt[45255]*Sin[(49*Pi)/268])/268,-163/268
(8*Sqrt[70]*Cos[(12*Pi)/67])/67,(-8*Sqrt[70]*Sin[(12*Pi)/67])/67,-3/67
(Sqrt[52503]*Cos[(47*Pi)/268])/268,-(Sqrt[52503]*Sin[(47*Pi)/268])/268,139/268
(Sqrt[2827]*Cos[(23*Pi)/134])/134,-(Sqrt[2827]*Sin[(23*Pi)/134])/134,-123/134
(11*Sqrt[519]*Cos[(45*Pi)/268])/268,(-11*Sqrt[519]*Sin[(45*Pi)/268])/268,-95/268
(9*Sqrt[53]*Cos[(11*Pi)/67])/67,(-9*Sqrt[53]*Sin[(11*Pi)/67])/67,14/67
(5*Sqrt[1159]*Cos[(43*Pi)/268])/268,(-5*Sqrt[1159]*Sin[(43*Pi)/268])/268,207/268
(3*Sqrt[1115]*Cos[(21*Pi)/134])/134,(-3*Sqrt[1115]*Sin[(21*Pi)/134])/134,-89/134
(Sqrt[71095]*Cos[(41*Pi)/268])/268,-(Sqrt[71095]*Sin[(41*Pi)/268])/268,-27/268
(42*Sqrt[2]*Cos[(10*Pi)/67])/67,(-42*Sqrt[2]*Sin[(10*Pi)/67])/67,31/67
(23*Sqrt[7]*Cos[(39*Pi)/268])/268,(-23*Sqrt[7]*Sin[(39*Pi)/268])/268,-261/268
(3*Sqrt[1659]*Cos[(19*Pi)/134])/134,(-3*Sqrt[1659]*Sin[(19*Pi)/134])/134,-55/134
(Sqrt[70143]*Cos[(37*Pi)/268])/268,-(Sqrt[70143]*Sin[(37*Pi)/268])/268,41/268
(Sqrt[2185]*Cos[(9*Pi)/67])/67,-(Sqrt[2185]*Sin[(9*Pi)/67])/67,48/67
(5*Sqrt[1383]*Cos[(35*Pi)/268])/268,(-5*Sqrt[1383]*Sin[(35*Pi)/268])/268,-193/268
(Sqrt[17515]*Cos[(17*Pi)/134])/134,-(Sqrt[17515]*Sin[(17*Pi)/134])/134,-21/134
(Sqrt[59943]*Cos[(33*Pi)/268])/268,-(Sqrt[59943]*Sin[(33*Pi)/268])/268,109/268
(2*Sqrt[66]*Cos[(8*Pi)/67])/67,(-2*Sqrt[66]*Sin[(8*Pi)/67])/67,65/67
(Sqrt[56199]*Cos[(31*Pi)/268])/268,-(Sqrt[56199]*Sin[(31*Pi)/268])/268,-125/268
(77*Sqrt[3]*Cos[(15*Pi)/134])/134,(-77*Sqrt[3]*Sin[(15*Pi)/134])/134,13/134
(Sqrt[40495]*Cos[(29*Pi)/268])/268,-(Sqrt[40495]*Sin[(29*Pi)/268])/268,177/268
(Sqrt[1785]*Cos[(7*Pi)/67])/67,-(Sqrt[1785]*Sin[(7*Pi)/67])/67,-52/67
(5*Sqrt[2743]*Cos[(27*Pi)/268])/268,(-5*Sqrt[2743]*Sin[(27*Pi)/268])/268,-57/268
(Sqrt[15747]*Cos[(13*Pi)/134])/134,-(Sqrt[15747]*Sin[(13*Pi)/134])/134,47/134
(3*Sqrt[1311]*Cos[(25*Pi)/268])/268,(-3*Sqrt[1311]*Sin[(25*Pi)/268])/268,245/268
(8*Sqrt[51]*Cos[(6*Pi)/67])/67,(-8*Sqrt[51]*Sin[(6*Pi)/67])/67,-35/67
(3*Sqrt[7967]*Cos[(23*Pi)/268])/268,(-3*Sqrt[7967]*Sin[(23*Pi)/268])/268,11/268
(Sqrt[11395]*Cos[(11*Pi)/134])/134,-(Sqrt[11395]*Sin[(11*Pi)/134])/134,81/134
(3*Sqrt[2455]*Cos[(21*Pi)/268])/268,(-3*Sqrt[2455]*Sin[(21*Pi)/268])/268,-223/268
(7*Sqrt[85]*Cos[(5*Pi)/67])/67,(-7*Sqrt[85]*Sin[(5*Pi)/67])/67,-18/67
(3*Sqrt[7287]*Cos[(19*Pi)/268])/268,(-3*Sqrt[7287]*Sin[(19*Pi)/268])/268,79/268
(Sqrt[4731]*Cos[(9*Pi)/134])/134,-(Sqrt[4731]*Sin[(9*Pi)/134])/134,115/134
(3*Sqrt[5311]*Cos[(17*Pi)/268])/268,(-3*Sqrt[5311]*Sin[(17*Pi)/268])/268,-155/268
(2*Sqrt[1122]*Cos[(4*Pi)/67])/67,(-2*Sqrt[1122]*Sin[(4*Pi)/67])/67,-1/67
(11*Sqrt[415]*Cos[(15*Pi)/268])/268,(-11*Sqrt[415]*Sin[(15*Pi)/268])/268,147/268
(Sqrt[3795]*Cos[(7*Pi)/134])/134,-(Sqrt[3795]*Sin[(7*Pi)/134])/134,-119/134
(Sqrt[64255]*Cos[(13*Pi)/268])/268,-(Sqrt[64255]*Sin[(13*Pi)/268])/268,-87/268
(Sqrt[4233]*Cos[(3*Pi)/67])/67,-(Sqrt[4233]*Sin[(3*Pi)/67])/67,16/67
(Sqrt[25599]*Cos[(11*Pi)/268])/268,-(Sqrt[25599]*Sin[(11*Pi)/268])/268,215/268
(7*Sqrt[219]*Cos[(5*Pi)/134])/134,(-7*Sqrt[219]*Sin[(5*Pi)/134])/134,-85/134
(Sqrt[71463]*Cos[(9*Pi)/268])/268,-(Sqrt[71463]*Sin[(9*Pi)/268])/268,-19/268
(10*Sqrt[34]*Cos[(2*Pi)/67])/67,(-10*Sqrt[34]*Sin[(2*Pi)/67])/67,33/67
(Sqrt[7815]*Cos[(7*Pi)/268])/268,-(Sqrt[7815]*Sin[(7*Pi)/268])/268,-253/268
(Sqrt[15355]*Cos[(3*Pi)/134])/134,-(Sqrt[15355]*Sin[(3*Pi)/134])/134,-51/134
(Sqrt[69423]*Cos[(5*Pi)/268])/268,-(Sqrt[69423]*Sin[(5*Pi)/268])/268,49/268
(3*Sqrt[221]*Cos[Pi/67])/67,(-3*Sqrt[221]*Sin[Pi/67])/67,50/67
(Sqrt[37599]*Cos[(3*Pi)/268])/268,-(Sqrt[37599]*Sin[(3*Pi)/268])/268,-185/268
(3*Sqrt[1963]*Cos[Pi/134])/134,(-3*Sqrt[1963]*Sin[Pi/134])/134,-17/134
(Sqrt[58135]*Cos[Pi/268])/268,-(Sqrt[58135]*Sin[Pi/268])/268,117/268
